id,keywords,pub_date,web_url,document_type,news_desk,section_name,subsection_name,type_of_material
nyt://article/b829ec45-cb6e-5998-81f9-91c42820a8ea,"[('persons', 'Robinson, Kevin (1971-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Bicycle Motocross'), ('subject', 'X Games'), ('creative_works', 'Guinness World Records (Book)'), ('subject', 'Records and Achievements')]",2017-12-15T22:56:36+0000,https://www.nytimes.com/2017/12/15/obituaries/kevin-robinson-soaring-bmx-star-dies-at-45.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/905e4ef0-94d5-5ccb-850a-543c9315a8e6,"[('persons', 'Nguini, Vincent (1952-2017)'), ('persons', 'Simon, Paul'), ('subject', 'Music'), ('subject', 'Deaths (Obituaries)')]",2017-12-14T19:30:20+0000,https://www.nytimes.com/2017/12/14/obituaries/vincent-nguini-guitarist-with-paul-simon-dies-at-65.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/4956b44f-145b-5b84-b966-ee29bae3d2f1,"[('persons', 'Harvey, Anthony'), ('subject', 'Movies'), ('subject', 'Deaths (Obituaries)')]",2017-12-13T18:05:34+0000,https://www.nytimes.com/2017/12/13/obituaries/anthony-harvey-lion-in-winter-director-dies-at-87.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/b47692c4-a07d-5645-82d5-54d9cbe7b166,"[('persons', 'Katz, Vera'), ('subject', 'Mayors'), ('glocations', 'Portland (Ore)'), ('subject', 'Politics and Government'), ('subject', 'Deaths (Obituaries)')]",2017-12-13T22:24:54+0000,https://www.nytimes.com/2017/12/13/obituaries/vera-katz-mayor-who-oversaw-portlands-flowering-dies-at-84.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/16e75eea-a08c-556c-8c10-0af4366378de,"[('persons', 'Murray, Sunny'), ('subject', 'Jazz'), ('persons', 'Taylor, Cecil'), ('persons', 'Ayler, Albert'), ('subject', 'Deaths (Obituaries)')]",2017-12-14T20:27:14+0000,https://www.nytimes.com/2017/12/14/obituaries/sunny-murray-influential-free-jazz-drummer-is-dead-at-81.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/02545375-b441-5b55-82b2-e670d7b269ef,"[('persons', 'Beavers, Clarence (1921-2017)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Segregation and Desegregation'), ('subject', 'United States Defense and Military Forces'), ('subject', 'Deaths (Obituaries)')]",2017-12-13T18:13:40+0000,https://www.nytimes.com/2017/12/13/obituaries/clarence-beavers-last-of-a-black-paratroop-unit-dies-at-96.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/eba563f8-f1c1-549e-a1ff-52c44c9129c8,"[('persons', 'DiNizio, Pat'), ('organizations', 'Smithereens'), ('subject', 'Pop and Rock Music'), ('subject', 'Deaths (Obituaries)')]",2017-12-14T00:27:37+0000,https://www.nytimes.com/2017/12/13/obituaries/pat-dinizio-singer-and-songwriter-for-the-smithereens-dies-at-62.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/6fae5b23-0c1f-567b-af90-13dd0ccc8a4c,"[('persons', 'Castellani, Enrico'), ('subject', 'Art'), ('subject', 'Deaths (Obituaries)')]",2017-12-12T23:02:05+0000,https://www.nytimes.com/2017/12/12/obituaries/enrico-castellani-dead-italian-avant-garde-artist.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/bdd5c0eb-5834-5486-99d8-5520e563f875,"[('persons', 'Scaduto, Anthony'), ('subject', 'Deaths (Obituaries)'), ('subject', 'News and News Media'), ('subject', 'Writing and Writers'), ('subject', 'Books and Literature'), ('persons', 'Dylan, Bob'), ('persons', 'Hauptmann, Bruno Richard')]",2017-12-14T00:01:40+0000,https://www.nytimes.com/2017/12/13/obituaries/anthony-scaduto-an-early-biographer-of-dylan-dies-at-85.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/154d4556-ba62-56dd-b425-c145439a30cb,"[('persons', 'Shteinman, Aharon Leib (1913-2017)'), ('subject', 'Rabbis'), ('subject', 'Jews and Judaism'), ('subject', 'Deaths (Obituaries)')]",2017-12-13T22:42:55+0000,https://www.nytimes.com/2017/12/13/obituaries/aharon-leib-shteinman-ultra-orthodox-leader-in-israel-dies-at-104.html,article,Obits,Obituaries,,Obituary (Obit)
